,phase,power,original_messages,summary
0,S1901M,AUSTRIA,,No messages sent or received.
1,S1901M,ENGLAND,,No messages sent or received.
2,S1901M,FRANCE,,No messages sent or received.
3,S1901M,GERMANY,,No messages sent or received.
4,S1901M,ITALY,,No messages sent or received.
5,S1901M,RUSSIA,,No messages sent or received.
6,S1901M,TURKEY,,No messages sent or received.
0,F1901M,AUSTRIA,,No messages sent or received.
1,F1901M,ENGLAND,,No messages sent or received.
2,F1901M,FRANCE,,No messages sent or received.
3,F1901M,GERMANY,,No messages sent or received.
4,F1901M,ITALY,,No messages sent or received.
5,F1901M,RUSSIA,,No messages sent or received.
6,F1901M,TURKEY,,No messages sent or received.
0,W1901A,AUSTRIA,,No messages sent or received.
1,W1901A,ENGLAND,,No messages sent or received.
2,W1901A,FRANCE,,No messages sent or received.
3,W1901A,GERMANY,,No messages sent or received.
4,W1901A,ITALY,,No messages sent or received.
5,W1901A,RUSSIA,,No messages sent or received.
6,W1901A,TURKEY,,No messages sent or received.
0,S1902M,AUSTRIA,,No messages sent or received.
1,S1902M,ENGLAND,,No messages sent or received.
2,S1902M,FRANCE,,No messages sent or received.
3,S1902M,GERMANY,,No messages sent or received.
4,S1902M,ITALY,,No messages sent or received.
5,S1902M,RUSSIA,,No messages sent or received.
6,S1902M,TURKEY,,No messages sent or received.
0,S1902R,AUSTRIA,,No messages sent or received.
1,S1902R,ENGLAND,,No messages sent or received.
2,S1902R,FRANCE,,No messages sent or received.
3,S1902R,GERMANY,,No messages sent or received.
4,S1902R,ITALY,,No messages sent or received.
5,S1902R,RUSSIA,,No messages sent or received.
6,S1902R,TURKEY,,No messages sent or received.
0,F1902M,AUSTRIA,,No messages sent or received.
1,F1902M,ENGLAND,,No messages sent or received.
2,F1902M,FRANCE,,No messages sent or received.
3,F1902M,GERMANY,,No messages sent or received.
4,F1902M,ITALY,,No messages sent or received.
5,F1902M,RUSSIA,,No messages sent or received.
6,F1902M,TURKEY,,No messages sent or received.
0,W1902A,AUSTRIA,,No messages sent or received.
1,W1902A,ENGLAND,,No messages sent or received.
2,W1902A,FRANCE,,No messages sent or received.
3,W1902A,GERMANY,,No messages sent or received.
4,W1902A,ITALY,,No messages sent or received.
5,W1902A,RUSSIA,,No messages sent or received.
